reqid,query,date
-431207690718383301,bài hát hay nhất về xứ nghệ,2022-11-20
1444346692259109957,phim set an do,2022-11-20
-1579033392881298873,giáo án 5-6 tuổi chuyện quả táo của ai,2022-11-20
-4008907335165011400,javan rung mua 13,2022-11-20
-1957776283301046049,vtv go,2022-11-20
8622926668797493500,remember me,2022-11-20
-9019200610169542361,sec nhat ban vip hap dan nam 2022,2022-11-20
8623581407755418676,xvideo,2022-11-20
130458922707186925,macbook pro,2022-11-20
661380632985314962,y2meta,2022-11-20
8658505613524496811,emmanuel hòa tử hòa bình,2022-11-20
3629107294044251110,ta là ngài khun đẹp nhất xứ xiêm,2022-11-20
-8550514342114351964,youtube,2022-11-20
6979921993354607518,6 lovers,2022-11-20
8423758202581879944,vaobo.tv,2022-11-20
1701699101825624745,youtube,2022-11-20
1119211643546248627,Argentina vs Saudi Arabia - ngày 22/11/2022 - Vòng loại World Cup Châu Âu,2022-11-20
-5576588478098489635,facebook,2022-11-20
1303991618038230313,sulfaganin 500mg,2022-11-20
-1414255295866301776,con co,2022-11-20
-3850311029850336405,đề kiểm tra giữa học kì 1 toán 2 cánh diều,2022-11-20
-4087332568674740036,youtube,2022-11-20
606152066230316907,websiteviet,2022-11-20
-5849764746714064289,ueh viết tắt,2022-11-20
-692153254750393009,vtvgo,2022-11-20
4514001240286718086,roblox,2022-11-20
-1675710807746544519,"Tiến lên CNXH bỏ qua chế độ TBCN, nhưng không thể bỏ qua:",2022-11-20
4675930533718569964,vtv go,2022-11-20
-372960387385867656,đậu lém phiêu lưu ký - toán lớp 2,2022-11-20
-1832092340181054222,Người thầy y đức 1,2022-11-20
-224298629559483133,he managed to.win the race hurting his.foot,2022-11-20
-3254837233595505979,facebook,2022-11-20
-8129939829717943656,y,2022-11-20
-6141609481685745493,fb,2022-11-20
-1841692508952397680,Bảng F - Vòng bảng - World Cup 2022,2022-11-20
2452640584627526107,các kênh chiếu world cup 2022,2022-11-20
7347969319791760750,:  Vai trò của triết học trong đời sống xã hội. Vai trò của triết học Mác - Lênin đối với hoạt động nhận thức và thực tiễn của con người.,2022-11-20
8922877159236843626,vtv,2022-11-20
-7668321684480130534,chợ tân thành,2022-11-20
-6170348789636986825,fuqqt.com cailondamdang,2022-11-20
8041544005868920015,fb,2022-11-20
1200476588296894560,bon bánh .com,2022-11-20
3794288603393964859,bật lửa và váy công chúa thuyết minh tvhay,2022-11-20
-5304913904934199156,vlxx,2022-11-20
-3362361615904546465,bảng chữ cái tiếng việt,2022-11-20
4647500191253385010,google,2022-11-20
-5326065758603798799,". Distinguish among anti-dumping measures, countervailing measures and safeguard measures",2022-11-20
-5584960075767534997,khởi chạy code,2022-11-20
741997789935309802,huyền thoại 1900 movie hd,2022-11-20
-2341745301295908911,game pikachu,2022-11-20
-4243668332099594822,popcat click,2022-11-20
432720216198552781,dualeotruyen,2022-11-20
9204519465019373411,chữ x trong lòng bàn tay,2022-11-20
-7135231891167290111,chữ việt nam xưa,2022-11-20
3382069198657172982,https//taphuan csdl.edu.vn,2022-11-20
5263047158124213601,facebook,2022-11-20
7398885150879052629,Qatar vs Ecuador - ngày 20/11/2022 - World Cup 2022,2022-11-20
-5200693133569432482,tib bi,2022-11-20
-3838126521658350143,youtube,2022-11-20
-6882222881876495409,gapps android 12,2022-11-20
-2892718282713086752,vtv go,2022-11-20
-3392065021827533426,năm cách ly đầu tiên,2022-11-20
-5403268318236380208,viêm mũi cấp gây chảy máu mũi,2022-11-20
-5702075011068647659,vlxx,2022-11-20
-4379606931848590445,cách chuyển đổi tài khoản garena sang riot,2022-11-20
4806923873492564922,khoảng cách giữa các dòng trong word,2022-11-20
6459396128346831554,vtv2 trực tiếp,2022-11-20
1259226865375043272,vtv 6,2022-11-20
-6003591940308978267,flp to mp4,2022-11-20
-713603259768280573,ie browser,2022-11-20
7543184186226624277,su...e điền từ tiếng anh thích hợp,2022-11-20
1140652252138163630,năm sau lễ hùng vương đc nghỉ mấy ngày,2022-11-20
-304171857162290976,chi chi chành chành,2022-11-20
-6355072484541037419,tiktok,2022-11-20
3029067729275397379,mplap v8.20,2022-11-20
-8090543008740444842,nhận định bóng đá,2022-11-20
972050372534959011,youtube,2022-11-20
-7011384372321889292,xxphim,2022-11-20
633794913167190528,hình hài là một đóa hoa dại so sanh sao duoc nhung doa hoa hong,2022-11-20
-1154937409284784679,g18vh,2022-11-20
7497323175408187721,bà hoàng lươn lẹo,2022-11-20
-2852849874504265356,javhd,2022-11-20
-7891075804258961914,tiengruoi,2022-11-20
3883792691162590363,nhạc remix,2022-11-20
-4792055501905822137,video kich duc,2022-11-20
-3122709275025191266,tính từ của hope,2022-11-20
-4274759467247078827,google chrome phien ban moi nhat 2022,2022-11-20
472702970967573533,skechers,2022-11-20
-6840325094448620815,bing chilling là gì,2022-11-20
7158780796639167311,sachmem.vn toán lớp 4,2022-11-20
4149219986529647361,thuốc kháng aldosterol cải thiện tình trạng da vfa tóc ở phụ nữ,2022-11-20
-1628483757006391380,cách cách dòng trong word,2022-11-20
3128554405142126715,trực tiếp bóng đá world cup 2022,2022-11-20
-1273518237296288195,ninh tịch lục đình kiêu,2022-11-20
2965295351071047250,phimxet.nhatban,2022-11-20
-4088511708341083182,capcup,2022-11-20
6142916728834679568,facebook,2022-11-20
7165673440490628862,mây tầng nào gặp mây tầng đó,2022-11-20
2238002537838876278,phimmoi,2022-11-20
-4431180983027906217,andyroid,2022-11-20
